employee_skill_id,employee_id,skill_id,skill_name,proficiency_level,years_experience
ES00489,EMP00126,SKILL009,Java,Beginner,2
ES00490,EMP00126,SKILL012,Agile,Advanced,1
ES00491,EMP00126,SKILL008,React,Intermediate,9
ES00492,EMP00127,SKILL003,SQL,Beginner,13
ES00493,EMP00127,SKILL030,React,Intermediate,9
ES00494,EMP00128,SKILL021,Machine Learning,Beginner,4
ES00495,EMP00128,SKILL009,Java,Beginner,10
ES00496,EMP00128,SKILL026,Kubernetes,Beginner,1
ES00497,EMP00129,SKILL003,React,Beginner,6
ES00498,EMP00129,SKILL025,React,Expert,9
ES00499,EMP00129,SKILL007,AWS,Expert,12
ES00500,EMP00129,SKILL012,JavaScript,Beginner,6
ES00501,EMP00130,SKILL029,Communication,Beginner,9
ES00502,EMP00130,SKILL026,Project Management,Intermediate,1
ES00503,EMP00130,SKILL019,Project Management,Expert,8
ES00504,EMP00130,SKILL019,Data Analysis,Beginner,5
ES00505,EMP00130,SKILL006,JavaScript,Expert,2
ES00506,EMP00131,SKILL023,SQL,Intermediate,13
ES00507,EMP00131,SKILL022,Leadership,Intermediate,13
ES00508,EMP00132,SKILL017,Git,Advanced,8
ES00509,EMP00132,SKILL026,JavaScript,Advanced,5
ES00510,EMP00132,SKILL012,Agile,Expert,1
ES00511,EMP00133,SKILL008,SQL,Beginner,3
ES00512,EMP00133,SKILL019,Leadership,Expert,2
ES00513,EMP00133,SKILL026,Python,Intermediate,13
ES00514,EMP00133,SKILL028,React,Beginner,8
ES00515,EMP00133,SKILL004,Kubernetes,Advanced,3
ES00516,EMP00134,SKILL006,Java,Advanced,10
ES00517,EMP00134,SKILL012,AWS,Beginner,2
ES00518,EMP00134,SKILL006,Communication,Expert,5
ES00519,EMP00134,SKILL016,React,Expert,11
ES00520,EMP00135,SKILL004,Agile,Expert,1
ES00521,EMP00135,SKILL012,Data Analysis,Advanced,7
ES00522,EMP00135,SKILL014,Data Analysis,Intermediate,8
ES00523,EMP00136,SKILL017,Data Analysis,Advanced,6
ES00524,EMP00136,SKILL003,Leadership,Expert,9
ES00525,EMP00136,SKILL015,React,Beginner,10
ES00526,EMP00136,SKILL021,Python,Intermediate,12
ES00527,EMP00137,SKILL001,JavaScript,Beginner,5
ES00528,EMP00137,SKILL013,JavaScript,Expert,14
ES00529,EMP00137,SKILL003,SQL,Expert,14
ES00530,EMP00137,SKILL015,Leadership,Beginner,6
ES00531,EMP00137,SKILL015,Kubernetes,Expert,2
ES00532,EMP00137,SKILL003,JavaScript,Beginner,15
ES00533,EMP00138,SKILL025,Docker,Intermediate,7
ES00534,EMP00138,SKILL011,Java,Advanced,6
ES00535,EMP00138,SKILL020,Kubernetes,Intermediate,12
ES00536,EMP00138,SKILL024,Kubernetes,Beginner,5
ES00537,EMP00138,SKILL015,Python,Intermediate,8
ES00538,EMP00139,SKILL021,SQL,Advanced,10
ES00539,EMP00139,SKILL002,Agile,Expert,1
ES00540,EMP00139,SKILL030,Project Management,Advanced,13
ES00541,EMP00140,SKILL016,SQL,Beginner,4
ES00542,EMP00140,SKILL028,Python,Expert,5
ES00543,EMP00140,SKILL009,Leadership,Intermediate,2
ES00544,EMP00140,SKILL005,Java,Advanced,7
ES00545,EMP00140,SKILL003,React,Expert,14
ES00546,EMP00141,SKILL017,SQL,Advanced,3
ES00547,EMP00141,SKILL027,Python,Beginner,15
ES00548,EMP00141,SKILL029,Docker,Advanced,13
ES00549,EMP00141,SKILL010,JavaScript,Intermediate,6
ES00550,EMP00141,SKILL014,Kubernetes,Expert,9
ES00551,EMP00142,SKILL023,Docker,Advanced,15
ES00552,EMP00142,SKILL023,Agile,Expert,14
ES00553,EMP00142,SKILL001,Git,Intermediate,2
ES00554,EMP00143,SKILL020,JavaScript,Advanced,11
ES00555,EMP00143,SKILL027,Communication,Advanced,1
ES00556,EMP00143,SKILL005,Machine Learning,Expert,15
ES00557,EMP00143,SKILL005,Kubernetes,Advanced,2
ES00558,EMP00143,SKILL026,Leadership,Expert,5
ES00559,EMP00143,SKILL017,Communication,Beginner,8
ES00560,EMP00144,SKILL021,Kubernetes,Beginner,1
ES00561,EMP00144,SKILL007,Communication,Intermediate,7
ES00562,EMP00144,SKILL023,Git,Intermediate,10
ES00563,EMP00145,SKILL007,AWS,Intermediate,4
ES00564,EMP00145,SKILL022,Agile,Beginner,6
ES00565,EMP00145,SKILL027,AWS,Beginner,5
ES00566,EMP00145,SKILL029,React,Beginner,12
ES00567,EMP00145,SKILL016,Leadership,Expert,7
ES00568,EMP00146,SKILL012,AWS,Expert,9
ES00569,EMP00146,SKILL025,AWS,Beginner,15
ES00570,EMP00146,SKILL006,Kubernetes,Expert,6
ES00571,EMP00146,SKILL006,Git,Intermediate,9
ES00572,EMP00146,SKILL014,Docker,Advanced,14
ES00573,EMP00147,SKILL021,React,Beginner,2
ES00574,EMP00147,SKILL026,Data Analysis,Beginner,2
ES00575,EMP00147,SKILL021,Python,Expert,2
ES00576,EMP00147,SKILL016,Communication,Beginner,11
ES00577,EMP00147,SKILL015,Git,Beginner,11
ES00578,EMP00148,SKILL028,Docker,Intermediate,4
ES00579,EMP00148,SKILL025,Kubernetes,Expert,2
ES00580,EMP00148,SKILL007,Data Analysis,Expert,2
ES00581,EMP00148,SKILL012,Project Management,Expert,7
ES00582,EMP00149,SKILL001,AWS,Intermediate,9
ES00583,EMP00149,SKILL010,React,Advanced,5
ES00584,EMP00149,SKILL027,Machine Learning,Expert,11
ES00585,EMP00149,SKILL008,Python,Expert,1
ES00586,EMP00149,SKILL001,Python,Intermediate,13
ES00587,EMP00150,SKILL027,Data Analysis,Advanced,6
ES00588,EMP00150,SKILL006,Agile,Expert,4
ES00589,EMP00150,SKILL018,Docker,Intermediate,10
ES00590,EMP00150,SKILL021,Docker,Beginner,13
